snapshot_id,case_id,flight_id,airline,depart_airport,arrive_airport,depart_datetime,arrive_datetime,duration_minutes,stops,baggage_included,price_usd,availability_status,captured_at,data_quality
SNAP-9001,CASE-1001,FL-DEMO-501,Aurora Air,AUS,CDG,2026-07-30T20:10:00-05:00,2026-07-31T12:55:00+02:00,645,1,yes,1840,available,2026-07-26T09:00:00-05:00,verified
SNAP-9002,CASE-1001,FL-DEMO-502,Blue Comet,AUS,CDG,2026-07-30T18:35:00-05:00,2026-07-31T11:20:00+02:00,640,1,yes,1925,available,2026-07-26T09:00:00-05:00,verified
SNAP-9003,CASE-1002,FL-DEMO-503,Cloudline Air,AUS,CDG,2026-07-30T07:45:00-05:00,2026-07-31T00:30:00+02:00,645,1,yes,1760,available,2026-07-26T09:15:00-05:00,verified
SNAP-9004,CASE-1002,FL-DEMO-504,Violet Jet,AUS,CDG,2026-07-30T21:15:00-05:00,2026-07-31T16:55:00+02:00,760,2,yes,1815,available,2026-07-26T09:15:00-05:00,verified
SNAP-9005,CASE-1003,FL-DEMO-505,Aurora Air,AUS,CDG,2026-07-30T19:20:00-05:00,2026-07-31T14:10:00+02:00,710,1,yes,2145,available,2026-07-26T09:30:00-05:00,verified
SNAP-9006,CASE-1003,FL-DEMO-506,Suntrail Airways,AUS,CDG,2026-07-30T22:05:00-05:00,2026-07-31T18:40:00+02:00,815,1,yes,2290,available,2026-07-26T09:30:00-05:00,verified
SNAP-9007,CASE-1004,FL-DEMO-507,Blue Comet,AUS,CDG,2026-07-30T18:50:00-05:00,2026-07-31T12:40:00+02:00,670,1,yes,1885,available,2026-07-26T10:00:00-05:00,verified
SNAP-9008,CASE-1004,FL-DEMO-508,Pioneer Wings,AUS,CDG,2026-07-30T20:40:00-05:00,2026-07-31T15:50:00+02:00,735,1,yes,1955,available,2026-07-26T10:00:00-05:00,verified
SNAP-9009,CASE-1005,FL-DEMO-509,Cloudline Air,AUS,CDG,2026-07-30T19:55:00-05:00,2026-07-31T13:30:00+02:00,665,1,yes,1710,available,2026-07-26T10:10:00-05:00,verified
SNAP-9010,CASE-1005,FL-DEMO-510,Violet Jet,AUS,CDG,2026-07-30T21:35:00-05:00,2026-07-31T16:45:00+02:00,730,1,yes,1790,available,2026-07-26T10:10:00-05:00,verified
SNAP-9011,CASE-1006,FL-DEMO-511,Aurora Air,AUS,CDG,2026-07-30T20:10:00-05:00,2026-07-31T12:55:00+02:00,645,1,yes,1840,available,2026-07-26T11:00:00-05:00,verified
SNAP-9012,CASE-1006,FL-DEMO-512,Blue Comet,AUS,CDG,2026-07-30T18:35:00-05:00,2026-07-31T11:20:00+02:00,640,1,yes,1925,available,2026-07-26T11:00:00-05:00,verified
SNAP-9013,CASE-1007,FL-DEMO-513,Suntrail Airways,AUS,CDG,2026-07-30T19:10:00-05:00,2026-07-31T14:05:00+02:00,715,1,yes,1695,sold_out,2026-07-26T11:20:00-05:00,verified
SNAP-9014,CASE-1007,FL-DEMO-514,Blue Comet,AUS,CDG,2026-07-30T20:20:00-05:00,2026-07-31T15:00:00+02:00,700,1,yes,1875,available,2026-07-26T11:20:00-05:00,verified
SNAP-9015,CASE-1008,FL-DEMO-515,Violet Jet,AUS,CDG,2026-07-30T20:30:00-05:00,2026-07-31T14:25:00+02:00,675,1,no,1680,available,2026-07-26T11:40:00-05:00,verified
SNAP-9016,CASE-1008,FL-DEMO-516,Aurora Air,AUS,CDG,2026-07-30T19:45:00-05:00,2026-07-31T13:55:00+02:00,690,1,yes,1935,available,2026-07-26T11:40:00-05:00,verified
SNAP-9017,CASE-1009,FL-DEMO-517,Cloudline Air,AUS,CDG,2026-07-30T21:00:00-05:00,2026-07-31T15:10:00+02:00,690,1,yes,1745,available,2026-07-26T12:00:00-05:00,verified
SNAP-9018,CASE-1009,FL-DEMO-518,Pioneer Wings,AUS,CDG,2026-07-30T18:10:00-05:00,2026-07-31T11:50:00+02:00,640,1,yes,1890,available,2026-07-26T12:00:00-05:00,verified
