snapshot_id,case_id,flight_id,airline,depart_airport,arrive_airport,depart_datetime,arrive_datetime,return_depart_datetime,return_arrive_datetime,duration_minutes,stops,baggage_included,price_usd,availability_status,captured_at,data_quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9001,CASE-1001,FL-DEMO-501,Aurora Air,AUS,CDG,2026-08-18T20:10:00-05:00,2026-08-19T12:55:00+02:00,2026-08-23T09:10:00+02:00,2026-08-23T15:55:00-05:00,645,1,yes,1840,available,2026-08-16T09:00:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9002,CASE-1001,FL-DEMO-502,Blue Comet,AUS,CDG,2026-08-18T18:35:00-05:00,2026-08-19T11:20:00+02:00,2026-08-23T10:35:00+02:00,2026-08-23T17:40:00-05:00,640,1,yes,1925,available,2026-08-16T10:07:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9003,CASE-1002,FL-DEMO-503,Cloudline Air,AUS,CDG,2026-08-19T07:45:00-05:00,2026-08-20T00:30:00+02:00,2026-08-24T12:20:00+02:00,2026-08-24T19:05:00-05:00,645,1,yes,1760,available,2026-08-16T11:14:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9004,CASE-1002,FL-DEMO-504,Violet Jet,AUS,CDG,2026-08-19T21:15:00-05:00,2026-08-20T16:55:00+02:00,2026-08-24T14:05:00+02:00,2026-08-24T20:35:00-05:00,760,2,yes,1815,available,2026-08-16T12:21:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9005,CASE-1003,FL-DEMO-505,Aurora Air,AUS,CDG,2026-08-22T19:20:00-05:00,2026-08-23T14:10:00+02:00,2026-08-27T16:45:00+02:00,2026-08-27T22:10:00-05:00,710,1,yes,2145,available,2026-08-17T13:28:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9006,CASE-1003,FL-DEMO-506,Suntrail Airways,AUS,CDG,2026-08-22T22:05:00-05:00,2026-08-23T18:40:00+02:00,2026-08-27T18:15:00+02:00,2026-08-27T23:45:00-05:00,815,1,yes,2290,available,2026-08-17T14:35:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9007,CASE-1004,FL-DEMO-507,Blue Comet,AUS,CDG,2026-08-23T18:50:00-05:00,2026-08-24T12:40:00+02:00,2026-08-28T09:10:00+02:00,2026-08-28T15:55:00-05:00,670,1,yes,1885,available,2026-08-17T09:42:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9008,CASE-1004,FL-DEMO-508,Pioneer Wings,AUS,CDG,2026-08-23T20:40:00-05:00,2026-08-24T15:50:00+02:00,2026-08-28T10:35:00+02:00,2026-08-28T17:40:00-05:00,735,1,yes,1955,available,2026-08-17T10:49:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9009,CASE-1005,FL-DEMO-509,Cloudline Air,AUS,CDG,2026-08-24T19:55:00-05:00,2026-08-25T13:30:00+02:00,2026-08-29T12:20:00+02:00,2026-08-29T19:05:00-05:00,665,1,yes,1710,available,2026-08-18T11:56:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP-9010,CASE-1005,FL-DEMO-510,Violet Jet,AUS,CDG,2026-08-24T21:35:00-05:00,2026-08-25T16:45:00+02:00,2026-08-29T14:05:00+02:00,2026-08-29T20:35:00-05:00,730,1,yes,1790,available,2026-08-18T12:03:00-05:00,verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
